Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Yik, Brandon J; Raker, Jeffrey R; Apkarian, Naneh; Stains, Marilyne; Henderson, Charles; Dancy, Melissa H; Johnson, Estrella; ","Association of malleable factors with adoption of research-based instructional strategies in introductory chemistry, mathematics, and physics",Frontiers in Education,7,,1016415,2022,Frontiers Media SA
"Aga, Kristian; ",Challenges and motivation for teachers transitioning to active learning spaces,European Journal of Engineering Education,48,4,724-746,2023,Taylor & Francis
"Hadi Mogavi, Reza; Zhao, Yankun; Ul Haq, Ehsan; Hui, Pan; Ma, Xiaojuan; ","Student barriers to active learning in synchronous online classes: Characterization, reflections, and suggestions",Proceedings of the Eighth ACM Conference on Learning@ Scale,,,101-115,2021,
"Buhl-Wiggers, Julie; la Cour, Lisbeth; Kjærgaard, Annemette Leonhardt; ",Insights from a randomized controlled trial of flipped classroom on academic achievement: the challenge of student resistance,International Journal of Educational Technology in Higher Education,20,1,41,2023,Springer
"Andrews, Madison E; Graham, Matthew; Prince, Michael; Borrego, Maura; Finelli, Cynthia J; Husman, Jenefer; ",Student resistance to active learning: Do instructors (mostly) get it wrong?,Australasian Journal of Engineering Education,25,2,142-154,2020,Taylor & Francis
"Srivatanakul, Thitima; Annansingh, Fenio; ",Incorporating active learning activities to the design and development of an undergraduate software and web security course,Journal of Computers in Education,9,1,25-50,2022,Springer
"Bächtold, Manuel; Roca, Pascale; De Checchi, Kévin; ","Students’ beliefs and attitudes towards cooperative learning, and their relationship to motivation and approach to learning",Studies in Higher Education,48,1,100-112,2023,Taylor & Francis
"Chankova, Mariya; ",Teaching academic integrity: The missing link,Journal of academic ethics,18,2,155-173,2020,Springer
"Guimarães, Leovani Marcial; Lima, Renato Da Silva; ",A systematic literature review of classroom observation protocols and their adequacy for engineering education in active learning environments,European Journal of Engineering Education,46,6,908-930,2021,Taylor & Francis
"Parmin, Parmin; Saregar, Antomi; Deta, Utama Alan; El Islami, R Ahmad Zaky; ","Indonesian science teachers’ views on attitude, knowledge, and application of STEM",Journal for the Education of Gifted Young Scientists,8,1,17-31,2020,Genç Bilge Yayıncılık
"Gutiérrez-Braojos, Calixto; Rodríguez-Chirino, Paula; Vico, Beatriz Pedrosa; Fernández, Sonia Rodríguez; ",Teacher scaffolding for knowledge building in the educational research classroom,RIED-Revista Iberoamericana de Educación a Distancia,27,2,,2024,
"Donham, Cristine; Pohan, Cathy; Menke, Erik; Kranzfelder, Petra; ","Increasing student engagement through course attributes, community, and classroom technology: lessons from the pandemic",Journal of Microbiology & Biology Education,23,1,e00268-21,2022,"American Society for Microbiology 1752 N St., NW, Washington, DC"
"Aga, Kristian; ",Comfort in active learning spaces–students’ perceptions and preferences,European Journal of Engineering Education,49,4,785-806,2024,Taylor & Francis
"Garbin, Fernanda Gobbi de Boer; ten Caten, Carla Schwengber; Jesus Pacheco, Diego Augusto de; ",A capability maturity model for assessment of active learning in higher education,Journal of Applied Research in Higher Education,14,1,295-316,2022,Emerald Publishing Limited
"Wong, Florence Mei Fung; Kan, Crystal Wai Yee; Chow, Susan Ka Yee; ",From resistance to acceptance in small group work: Students' narratives,Nurse Education Today,111,,105317,2022,Elsevier
"McLay, Katherine Frances; Thomasse, Lauren; Reyes Jr, Vicente Chua; ",Embracing discomfort in active learning and technology-rich higher education settings: sensemaking through reflexive inquiry,Educational technology research and development,71,3,1161-1177,2023,Springer
"Flaherty, Elizabeth A; Lanier, Hayley C; Varner, Johanna; Duggan, Jennifer M; Beckmann, Sean; Yahnke, Christopher J; Erb, Liesl P; Patrick, Lorelei E; Dizney, Laurie; Munroe, Karen E; ",Teaching Mammalogy in the 21st century: advances in undergraduate education,Journal of Mammalogy,104,4,655-666,2023,Oxford University Press US
"Andrews, Madison; Prince, Michael; Finelli, Cynthia; Graham, Matthew; Borrego, Maura; Husman, Jenefer; ",Explanation and facilitation strategies reduce student resistance to active learning,College Teaching,70,4,530-540,2022,Taylor & Francis
"Finelli, Cynthia J; Borrego, Maura; ",Evidence-based strategies to reduce student resistance to active learning,Active learning in college science: The case for evidence-based practice,,,943-952,2020,Springer International Publishing
"Ovid, Dax; Rice, Mallory M; Luna, Joshua Vargas; Tabayoyong, Karen; Lajevardi, Parinaz; Tanner, Kimberly D; ",Investigating student perceptions of Instructor Talk: Alignment with researchers’ categorizations and analysis of remembered language,CBE—Life Sciences Education,20,4,ar61,2021,Am Soc Cell Biol
"Fedeli, Monica; Taylor, Edward W; ",The impact of an active-learning designed faculty development program: A students' perspective of an Italian university,Tuning Journal for Higher Education,11,1,151-174,2023,UNIV DEUSTO
"Istiana, Rita; Herawati, Desti; Herniningtyas, Farah; Ichsan, Ilmi Zajuli; Ali, Ahmad; ",STEM learning to improve problem solving ability on the topic of environmental education,Jurnal Penelitian Pendidikan IPA,9,3,1202-1208,2023,
"Meaders, Clara L; Toth, Emma S; Lane, A Kelly; Shuman, J Kenny; Couch, Brian A; Stains, Marilyne; Stetzer, MacKenzie R; Vinson, Erin; Smith, Michelle K; ",“What will I experience in my college STEM courses?” An investigation of student predictions about instructional practices in introductory courses,CBE—Life Sciences Education,18,4,ar60,2019,Am Soc Cell Biol
"Park, Elizabeth S; Harlow, Ashley; AghaKouchak, Amir; Baldi, Brigette; Burley, Nancy; Buswell, Natascha; Crooks, Roderic; Denenberg, Darren; Ditto, Peter; Edwards, Kimberley; ",Instructor facilitation mediates students’ negative perceptions of active learning instruction,PloS one,16,12,e0261706,2021,"Public Library of Science San Francisco, CA USA"
"Kuzminykh, Ievgeniia; Yevdokymenko, Maryna; Yeremenko, Oleksandra; Lemeshko, Oleksandr; ",Increasing teacher competence in cybersecurity using the EU security frameworks,International Journal of Modern Education and Computer Science,11,6,60,2021,Modern Education and Computer Science Press
"Costabile, Maurizio; Birbeck, David; Aitchison, Claire; ",Using simulations to meld didactic and constructivist teaching methods in complex second year STEM courses,International Journal of Science Education,47,2,173-190,2025,Taylor & Francis
"Lobo, Deepan; Patel, Drashti; Morainvile, Jorim; Shekhar, Prateek; Abichandani, Pramod; ",Preparing students for drone careers using active learning instruction,Ieee Access,9,,126216-126230,2021,IEEE
"Zaher, Ashraf A; Hussain, G Amjad; Altabbakh, Hanan; ",An Active Learning Approach for Applying STEAMeD-Based Education in Engineering Programs.,International Journal of Engineering Pedagogy,13,3,,2023,
"Winkler, Ingo; Rybnikova, Irma; ","Student resistance in the classroom—Functional‐instrumentalist, critical‐emancipatory and critical‐functional conceptualisations",Higher Education Quarterly,73,4,521-538,2019,Wiley Online Library
"Panteli, Panagiota; Panaoura, Areti; ",The effectiveness of using mobile learning methods in geometry for students with different initial mathematical performance,Social Education Research,,,1-10,2020,
"Pilotti, Maura AE; Al Ghazo, Runna; ",Sustainable education starts in the classroom,Sustainability,12,22,9573,2020,MDPI
"Kaw, Autar; Clark, Renee; Delgado, Eleonora; Abate, Nicholas; ",Analyzing the use of adaptive learning in a flipped classroom for preclass learning,Computer Applications in Engineering Education,27,3,663-678,2019,Wiley Online Library
"Vroom, Kristen; Gehrtz, Jessica; Apkarian, Naneh; Alzaga Elizondo, Tenchita; Ellis, Brittney; Hagman, Jessica; ",Characteristics of interactive classrooms that first year students find helpful,International Journal of STEM Education,9,1,38,2022,Springer
"Archie, Tim; Wise, Sarah B; Robalino, Javier; Chmiel, Marjee; Laursen, Sandra; ",Factors Influencing the Use of Evidence-based Instructional Practices by Community College Biology Instructors,CBE—Life Sciences Education,23,4,ar43,2024,American Society for Cell Biology
"Coulter, Robert WS; Onufer, Lindsay; ",Using student-led discussions and snapshot lectures to stimulate active learning and accountability: A mixed methods study on teaching an implementation science course,Pedagogy in Health Promotion,8,1,30-40,2022,"SAGE Publications Sage CA: Los Angeles, CA"
"Barbosa, Flavia V; Lobarinhas, Pedro AM; Teixeira, Senhorinha FCF; Teixeira, José CF; ",Project-Based Learning in a Mechanical Engineering Course: A new proposal based on student's views,International Journal of Mechanical Engineering Education,50,4,767-804,2022,"SAGE Publications Sage UK: London, England"
"Rosário, Albérico Travassos; Raimundo, Ricardo; ","Enhancing Business Higher Education Through Simulation-Based Learning, Problem-Based Learning, and Challenge-Based Learning","Preprints. org,[S. l.]",,,,2024,
"Dönmez, İsmail; Gülen, Salih; Ayaz, Mahmut; ",Impact of argumentation-based STEM activities on ongoing STEM motivation,Journal for STEM Education Research,5,1,78-101,2022,Springer International Publishing Cham
"Rieg, Denise Luciana; Lima, Rui MM; Mesquita, Diana; Scramim, Fernando Cezar Leandro; Mattasoglio Neto, Octavio; ",Active learning strategies to develop research competences in engineering education,Journal of Applied Research in Higher Education,14,3,1210-1223,2022,Emerald Publishing Limited
"Minosky, Shayna A; Wiechers, Michael; Landaverde-Umana, Leonardo; ",The impact of course format on student perceptions of the classroom learning environment and teamwork,Active Learning in Higher Education,25,3,321-336,2024,"SAGE Publications Sage UK: London, England"
"Li, Shangman; AlZoubi, Dana; Glaser, Noah; Mendoza, K Rende; Schmidt, Matthew; Singh, Kanu Priya; ",Active Learning Strategies in the Technology-Enabled Classroom: Perspectives of Both Students and Instructors,Journal of Formative Design in Learning,8,2,82-98,2024,Springer
"Silva, Williamson; Steinmacher, Igor; Conte, Tayana; ",Students’ and instructors’ perceptions of five different active learning strategies used to teach software modeling,IEEE Access,7,,184063-184077,2019,IEEE
"Yosintha, Rolisda; Yunianti, Sukma Shinta; ",Learner autonomy in EFL online classes in Indonesia: Students’ voices,Langkawi: Journal of The Association for Arabic and English,7,1,119,2021,
"Clerici-Arias, Marcelo; ",Transitioning to a team-based learning principles course,The Journal of economic educaTion,52,3,249-256,2021,Taylor & Francis
"Mubarak, Hamisi Ramadhan; Khan, Md Shahadat Hossain; ",Variations in students’ conceptions of good teaching in engineering education: a phenomenographic investigation,European Journal of Engineering Education,47,6,865-885,2022,Taylor & Francis
"Sumarni, Ria Asep; Bhakti, Yoga Budi; Astuti, Irnin Agustina Dwi; Sulisworo, Dwi; Toifur, Moh; ",Analisis Kebutuhan Guru SMP Mengenai Metode Pembelajaran Flipped Classroom,ORBITA: Jurnal Pendidikan dan Ilmu Fisika,6,2,236-242,2020,
"Judijanto, Loso; Fauzi, Muhammad Sukron; Hendrilia, Yudi; Kadir, Dalimawaty; Murnaka, Nerru Pranuta; ",The Differences of Students’ Learning Outcomes Using the Discovery Learning Model and Problem Based Learning in Science Learning at Primary Schools,Jurnal Penelitian Pendidikan IPA,10,10,7354-7360,2024,
"Praherdhiono, Henry; Adi, Eka Pramono; Prihatmoko, Yulias; Abidin, Zainul; Nindigraha, Nunung; Hidayati, Abna; Muttaqin, Afdhal; ",Synchronization of virtual and real learning patterns in e-learning systems with Metaverse concept,2022 8th International Conference on Education and Technology (ICET),,,185-189,2022,IEEE
"Callaghan-Koru, Jennifer A; Aqil, Anushka R; ",Theory-Informed course design: Applications of bloom’s taxonomy in undergraduate public health courses,Pedagogy in health promotion,8,1,75-83,2022,"SAGE Publications Sage CA: Los Angeles, CA"
"LovĹˇin Kozina, Francka; Metljak, Mira; ",Integrating the Contents of Financial Literacy in the Teaching Process: Teachers' Perspectives.,European Journal of Educational Research,11,4,2265-2274,2022,ERIC
"Shady, Sally F; ",Application of a prediction problem-based learning (PPBL) method in an undergraduate biomechanics course,Biomedical Engineering Education,5,1,79-85,2025,Springer
"Gosavi, Chhaya S; Arora, Sandhya; ",Active learning strategies for engaging students in higher education,Journal of Engineering Education Transformations,36,Special Issue 1,,2022,Rajarambapu Institute Of Technology
"Wan, Tong; Doty, Constance M; Geraets, Ashley A; Nix, Christopher A; Saitta, Erin KH; Chini, Jacquelyn J; ",Evaluating the impact of a classroom simulator training on graduate teaching assistants’ instructional practices and undergraduate student learning,Physical Review Physics Education Research,17,1,010146,2021,APS
"Haque, Adnan ul; ",No One Wants to be a Host of Ghost Sessions: Techniques to Improve Student Engagement and Active Participation,"Teaching in the Post COVID-19 Era: World Education Dilemmas, Teaching Innovations and Solutions in the Age of Crisis",,,433-442,2021,Springer
"Borrego, Maura; Nguyen, Kevin A; Crockett, Caroline; DeMonbrun, Matt; Shekhar, Prateek; Tharayil, Sneha; Finelli, Cynthia J; Rosenberg, Robyn S; Waters, Cynthia; ",Systematic literature review of students’ affective responses to active learning: Overview of results,2018 IEEE Frontiers in Education Conference (FIE),,,1-7,2018,IEEE
"Craig, Briana; Hsu, Jeremy L; ",A multi-year longitudinal study exploring the impact of the COVID-19 pandemic on students’ familiarity and perceptions of active learning,Active Learning in Higher Education,,,14697874241230992,2024,"SAGE Publications Sage UK: London, England"
"Pujadas, Pablo; Aidarov, Stanislav; ",Team-based questioning battles in construction and building engineering educational environments: a useful tool for engaging active learning in the classroom,Education Sciences,14,9,969,2024,MDPI
"Brandimarte, Luigia; Funk, Alisan; Richter, Benjamin; ",Mixing fluid mechanics with circus: how the performing arts can enhance learning in an undergraduate engineering course,European Journal of Engineering Education,49,5,889-910,2024,Taylor & Francis
"İlhan, Elif; ",Active learning in higher education from the perspectives of faculty members,Türk Akademik Yayınlar Dergisi (TAY Journal),6,2,382-405,2022,Bayram TAY
"Syamsuddin, Naidin; Mustafa, Mustafa; Putra, Alfan; Pamessangi, Andi Arif; Mawardi, Mawardi; Nurmiati, Nurmiati; Anwar, M Arsy; Usama, Usama; ",Perkemahan Bahasa Arab Berbasis Al-Fan Al-Araby di SMPIT Insan Madani Kota Palopo,Madaniya,5,3,771-781,2024,
"Johnson, Aaron W; Su, Magel P; Blackburn, Max W; Finelli, Cynthia J; ",Instructor use of a flexible classroom to facilitate active learning in undergraduate engineering courses,European Journal of Engineering Education,46,4,618-635,2021,Taylor & Francis
"Cabanillas-García, Juan Luis; ","The Application of Active Methodologies in Spain: An Investigation of Teachers’ Use, Perceived Student Acceptance, Attitude, and Training Needs Across Various Educational Levels",Education Sciences,15,2,210,2025,MDPI
"Brazeal, Kathleen R; Brown, Tanya L; Couch, Brian A; ",Connecting activity implementation characteristics to student buy-in toward and utilization of formative assessments within undergraduate biology courses,Journal for STEM Education Research,4,3,329-362,2021,Springer
"Johnson, David C; Coulter-Kern, Marcie; ",Listening to students: Beliefs and attitudes about active learning and effective lecture-style courses,Active Learning in Higher Education,,,14697874241254465,2024,"SAGE Publications Sage UK: London, England"
"Katsioudi, Georgia; Kostareli, Efterpi; ","A Sandwich‐model experiment with personal response systems on epigenetics: insights into learning gain, student engagement and satisfaction",FEBS Open bio,11,5,1282-1298,2021,
"Zhu, Meina; ",Effective pedagogical strategies for STEM education from instructors' perspective: OER for educators,Open Praxis,12,2,257-270,2020,
"Castaneda, Daniel I; Merritt, Joi D; Mejia, Joel A; ",Integrating an engineering justice approach in an undergraduate engineering mechanics course,2021 IEEE Frontiers in Education Conference (FIE),,,1-5,2021,IEEE
"Mahel, ThankGod Amukele; ","Leadership competencies for the volatile, uncertain, complex and ambiguous (VUCA) environment: Challenges to higher education",European Journal of Humanities and Educational Advancements,2,5,119-138,2021,Scholarzest
"Patel, Roshni A; Ungar, Rachel A; Pyke, Alanna L; Adimoelja, Alvina; Chakraborty, Meenakshi; Cotter, Daniel J; Freund, Malika; Goddard, Pagé; Gomez-Stafford, Justin; Greenwald, Emily; ","Increasing equity in science requires better ethics training: A course by trainees, for trainees",Cell Genomics,4,5,,2024,Elsevier
"Silverthorn, Dee Unglaub; ",When active learning fails… and what to do about it,Active learning in college science: The case for evidence-based practice,,,985-1001,2020,Springer
"Gouger, Ashley R; Mirowsky, Jaime E; ",Using Project-Based Learning to Assess the Effectiveness of Water Filtration Devices in Removing Chemical Analytes in an Undergraduate Analytical Chemistry Laboratory,Journal of chemical education,99,12,4016-4023,2022,ACS Publications
"Mahlambi, Sizwe Blessing; ",Assessment for Learning as a Driver for Active Learning and Learner Participation in Mathematics.,International Journal of Educational Methodology,7,3,473-485,2021,ERIC
"Singh, Kanu Priya; Glaser, Noah; AlZoubi, Dana; Schmidt, Matthew; Li, Shangman; Gu, Yuanyuan; ",From Traditional to Technology-Enabled: Exploring the Integration of Active Learning in Technology-Enabled Classrooms to Provide an Improved Learning Experience for Students,"Transdisciplinary Learning Experience Design: Futures, Synergies, and Innovation",,,169-188,2024,Springer
"Dulai, Kamal S; Kranzfelder, Petra; Signorini, Adriana; Pusey, Téa S; Valencia, Andrea Presas; Urbina, Christian; Oviedo, Néstor J; ","Collaborative Teaching plus (CT+): A Timely, Flexible, and Dynamic Course Design Implemented during Emergency Remote Teaching in an Introductory Biology Course",CBE—Life Sciences Education,21,4,ar61,2022,Am Soc Cell Biol
"Masykur, Ruhban; Irwandani, Irwandani; Aridan, Muhammad; Susilowati, Nur Endah; Soeharto, Soeharto; ",Developing and Validating E-Learning Module for Islamic Higher Education Digital Literacy in Preventing Hoax (EMODILPH),Tadris: Jurnal Keguruan Dan Ilmu Tarbiyah,8,2,341-355,2023,
"Sörensen, Pia M; ",Food Fermentations and Flavor: A Curiosity and Creativity Driven Approach for Interdisciplinary and Research-Oriented Science Education,Journal of Chemical Education,100,8,2935-2946,2023,ACS Publications
"Farkas, Bernie; Shang, Yanyan; Alhourani, Farouq; ",Teaching Tip: Teaching Business Process Concepts in an Introductory Information Systems Class: A Multi-Level Game-Based Learning Approach,Journal of Information Systems Education,33,4,306-323,2022,
"Boutelier, Stefani; Moran, Clarice; Sullivan, Sunshine; Rybakova, Katie; Damico, Nicole; Null, Suzanne; ",Multimodal assessment and the new paradigm: An autoethnographic reflection on teacher education,Journal of Technology and Teacher Education,29,4,471-495,2021,Society for Information Technology & Teacher Education
"Desai, Sandip R; ",Impact of active learning methods on students’ learning and course results,Journal of Engineering Education Transformations,35,3,133-142,2022,Rajarambapu Institute Of Technology
"Susanti, Yuliana Putri; Subekti, Adaninggar Septi; ",Jigsaw strategy for cooperative learning in an English reading class: teacher’s and students’ beliefs,Pedagogy: Journal of English Language Teaching,8,2,102-114,2020,
"Dobie, Tracy E; MacArthur, Kelly; ",Exploring shifts in student attitudes toward group exams in college calculus: The case of Dane,International Journal of Research in Undergraduate Mathematics Education,8,1,149-175,2022,Springer
"McKinney, Earl; Shaffer, Rachel; ",Teaching awareness of ambiguity in data,Communications of the Association for Information Systems,52,1,11,2023,
"Koretsky, Milo D; Nolen, Susan Bobbitt; Galisky, John; Auby, Harpreet; Grundy, Lorena S; ",Progression from the mean: Cultivating instructors' unique trajectories of practice using educational technology,Journal of Engineering Education,113,2,330-359,2024,Wiley Online Library
"Fovet, Frederic; ",Exploring Accessibility in Online and Blended Learning: Universal Design for Learning as a Lens on Equity in a Post-COVID K-12 Landscape,Designing effective distance and blended learning environments in K-12,,,1-20,2022,IGI Global Scientific Publishing
"Calderon, Ivanilse; Silva, Williamson; Feitosa, Eduardo; ",Active learning methodologies for teaching programming in undergraduate courses: A systematic mapping study,Informatics in Education,23,2,279-322,2024,Vilnius University Institute of Data Science and Digital Technologies
"Servey, Jessica T; Haischer-Rollo, Gayle; ",Interprofessional Faculty Development on Health Disparities: Engineering a Crossover “Jigsaw” Journal Club,Education Sciences,14,5,468,2024,MDPI
"Brooks, Amy; Huff, James; ","Evaluating the quality of interviews with a process-based, self-reflective tool",,,,,2023,ASEE Conferences
"Lemelin, Cosette; Gross, Cole D; Bertholet, Renette; Gares, Sheryl; Hall, Mark; Henein, Hani; Kozlova, Valentina; Spila, Michelle; Villatoro, Valentin; Haave, Neil; ",Mitigating Student Resistance to Active Learning by Constructing Resilient Classrooms.,Bioscene: Journal of College Biology Teaching,47,2,3,2021,ERIC
"Gutiérrez-Braojos, Calixto; Rodríguez-Chirino, Paula; Vico, Beatriz Pedrosa; Fernández, Sonia Rodríguez; ",Andamiaje docente para la construcción del conocimiento en el aula de investigación educativa,RIED-Revista Iberoamericana de Educación a Distancia,27,2,,2024,
"Payán, Denise D; ",Cultivating health policy analysis and communication skills in undergraduate public health education: An active learning approach,Pedagogy in Health Promotion,7,3,235-241,2021,"SAGE Publications Sage CA: Los Angeles, CA"
"Chang-Tik, Chan; ","Student Collaboration Through Assessment, Feedback and Peer Instruction","Collaborative Active Learning: Practical Activity-Based Approaches to Learning, Assessment and Feedback",,,53-79,2022,Springer
"Cole, Renée S; ",Sustaining the Adoption of Active Learning,Active Learning in the Analytical Chemistry Curriculum,,,297-306,2022,ACS Publications
"Kodzi, Emmanuel T; ",From design to delivery: Teaching supply chain management to IB majors,Journal of Teaching in International Business,30,4,342-372,2019,Taylor & Francis
"Kaw, Autar; Yalcin, Ali; Clark, Renee M; Gomes, Rafael B; Serrano, Luis; Scott, Andrew; Lou, Yingyan; ",On Building and Implementing Adaptive Learning Platform Lessons for Pre-Class Learning in a Flipped Course,ASEE Computers in Education,14,2,1-23,2024,ASEE
"DeSantis, Joshua; ",Accelerating student engagement with asynchronous online debates,College Teaching,71,2,103-111,2023,Taylor & Francis
"Sahputri, Rindi Ardika Melsalasa; Sujarwoto, Sujarwoto; Haryono, Bambang Santoso; ",Resistance behaviour among Indonesian academics experiencing policy change on international peer-review publication,International Journal of Educational Management,36,5,729-749,2022,Emerald Publishing Limited
"Al‐Khalifa, Khalifa S; Gaffar, Balgis O; ",Dental students’ perception about using videos in teaching professionalism: A Saudi Arabian experience,Journal of dental education,85,2,197-207,2021,Wiley Online Library
"Purtell, Alicia; Talbot, Robert; Moore, Michael E; ",Barriers to learning assistant engagement: an investigation into student encounters learning assistants find challenging and developing training to navigate those challenges,Journal of College Science Teaching,49,6,23-29,2020,Taylor & Francis
"Anosova, Anastasiia; Horpynchenko, Olha; Bulavina, Olena; Shevchuk, Hanna; Valentieva, Tatyana; ",The use of active learning methods for lifelong education,,,,,2022,"Journal for Educators, Teachers and Trainers"
"Dhamija, Ankit; Dhamija, Deepika; ",Impact of innovative and interactive instructional strategies on student classroom participation,Handbook of Research on Digital Learning,,,20-37,2020,IGI Global
"López, Christian E; Tucker, Conrad S; ",Implementing gamification in engineering bridge programs: A case study exploring the use of the Kahoot! application,2019 ASEE Zone I Conference & Workshop,,,,2019,
"Colis, Ma Victoria; Reyes, Wilma S; ",Integrating digital citizenship in social studies,"Journal of Research, Policy & Practice of Teachers and Teacher Education",14,2,1-14,2024,
"Betts, Lucy R; Huntington, Bethany; Iao, Lai‐Sang; Dillon, Gayle V; Baguley, Thom; Banyard, Phil; ",Developing a competency‐based education training programme for university tutors,The Journal of Competency‐Based Education,4,4,e01200,2019,Wiley Online Library
"Ghommem, Mehdi; Gunn, Cindy; ",Toward better learning opportunities for undergraduate mechanical engineering students: a case study,International Journal of Mechanical Engineering Education,49,3,195-213,2021,"SAGE Publications Sage UK: London, England"
"Cochrane, Yumiko; ",The socio-cultural suitability of task-based instruction in Japan: Through the lens of learners,Journal of Asia TEFL,18,2,422,2021,Asia TEFL
